counts,freq,group,rep
0,29,kronos_wt,1
1,32,kronos_wt,1
2,20,kronos_wt,1
3,21,kronos_wt,1
4,20,kronos_wt,1
5,30,kronos_wt,1
6,28,kronos_wt,1
7,17,kronos_wt,1
8,34,kronos_wt,1
9,19,kronos_wt,1
10,15,kronos_wt,1
11,11,kronos_wt,1
12,7,kronos_wt,1
13,6,kronos_wt,1
14,4,kronos_wt,1
15,1,kronos_wt,1
16,0,kronos_wt,1
17,1,kronos_wt,1
0,24,kronos_wt,2
1,25,kronos_wt,2
2,21,kronos_wt,2
3,21,kronos_wt,2
4,26,kronos_wt,2
5,29,kronos_wt,2
6,30,kronos_wt,2
7,43,kronos_wt,2
8,23,kronos_wt,2
9,18,kronos_wt,2
10,6,kronos_wt,2
11,4,kronos_wt,2
12,3,kronos_wt,2
13,0,kronos_wt,2
14,2,kronos_wt,2
15,0,kronos_wt,2
16,1,kronos_wt,2
17,0,kronos_wt,2
0,28,kronos_wt,3
1,19,kronos_wt,3
2,9,kronos_wt,3
3,14,kronos_wt,3
4,15,kronos_wt,3
5,26,kronos_wt,3
6,25,kronos_wt,3
7,23,kronos_wt,3
8,17,kronos_wt,3
9,10,kronos_wt,3
10,4,kronos_wt,3
11,4,kronos_wt,3
12,6,kronos_wt,3
13,3,kronos_wt,3
14,3,kronos_wt,3
15,1,kronos_wt,3
16,0,kronos_wt,3
17,0,kronos_wt,3
18,0,kronos_wt,3
19,0,kronos_wt,3
20,0,kronos_wt,3
21,0,kronos_wt,3
0,59,mrc-1,1
1,34,mrc-1,1
2,44,mrc-1,1
3,35,mrc-1,1
4,41,mrc-1,1
5,26,mrc-1,1
6,15,mrc-1,1
7,6,mrc-1,1
8,4,mrc-1,1
9,6,mrc-1,1
10,1,mrc-1,1
11,0,mrc-1,1
12,0,mrc-1,1
13,1,mrc-1,1
14,0,mrc-1,1
15,0,mrc-1,1
16,0,mrc-1,1
17,0,mrc-1,1
0,48,mrc-1,2
1,28,mrc-1,2
2,34,mrc-1,2
3,31,mrc-1,2
4,27,mrc-1,2
5,15,mrc-1,2
6,16,mrc-1,2
7,0,mrc-1,2
8,1,mrc-1,2
9,0,mrc-1,2
10,3,mrc-1,2
11,0,mrc-1,2
12,0,mrc-1,2
13,0,mrc-1,2
14,0,mrc-1,2
15,0,mrc-1,2
16,0,mrc-1,2
17,0,mrc-1,2
0,31,mrc-1,3
1,42,mrc-1,3
2,45,mrc-1,3
3,48,mrc-1,3
4,22,mrc-1,3
5,19,mrc-1,3
6,9,mrc-1,3
7,2,mrc-1,3
8,2,mrc-1,3
9,2,mrc-1,3
10,0,mrc-1,3
11,0,mrc-1,3
12,0,mrc-1,3
13,0,mrc-1,3
14,0,mrc-1,3
15,0,mrc-1,3
16,0,mrc-1,3
17,0,mrc-1,3
18,0,mrc-1,3
19,0,mrc-1,3
20,0,mrc-1,3
21,0,mrc-1,3
0,28,mrc-2,1
1,51,mrc-2,1
2,42,mrc-2,1
3,34,mrc-2,1
4,37,mrc-2,1
5,39,mrc-2,1
6,21,mrc-2,1
7,21,mrc-2,1
8,2,mrc-2,1
9,2,mrc-2,1
10,1,mrc-2,1
11,0,mrc-2,1
12,0,mrc-2,1
13,0,mrc-2,1
14,0,mrc-2,1
15,0,mrc-2,1
16,0,mrc-2,1
17,0,mrc-2,1
0,9,mrc-2,2
1,28,mrc-2,2
2,22,mrc-2,2
3,27,mrc-2,2
4,44,mrc-2,2
5,23,mrc-2,2
6,32,mrc-2,2
7,11,mrc-2,2
8,11,mrc-2,2
9,2,mrc-2,2
10,2,mrc-2,2
11,4,mrc-2,2
12,0,mrc-2,2
13,1,mrc-2,2
14,0,mrc-2,2
15,0,mrc-2,2
16,0,mrc-2,2
17,0,mrc-2,2
0,35,mrc-2,3
1,16,mrc-2,3
2,29,mrc-2,3
3,29,mrc-2,3
4,37,mrc-2,3
5,21,mrc-2,3
6,23,mrc-2,3
7,7,mrc-2,3
8,10,mrc-2,3
9,10,mrc-2,3
10,5,mrc-2,3
11,4,mrc-2,3
12,0,mrc-2,3
13,1,mrc-2,3
14,0,mrc-2,3
15,0,mrc-2,3
16,0,mrc-2,3
17,0,mrc-2,3
18,0,mrc-2,3
19,0,mrc-2,3
20,0,mrc-2,3
21,1,mrc-2,3
0,54,mrc-3,1
1,27,mrc-3,1
2,39,mrc-3,1
3,31,mrc-3,1
4,41,mrc-3,1
5,30,mrc-3,1
6,31,mrc-3,1
7,18,mrc-3,1
8,8,mrc-3,1
9,8,mrc-3,1
10,4,mrc-3,1
11,3,mrc-3,1
12,3,mrc-3,1
13,3,mrc-3,1
14,0,mrc-3,1
15,1,mrc-3,1
16,0,mrc-3,1
17,0,mrc-3,1
0,9,mrc-3,2
1,21,mrc-3,2
2,28,mrc-3,2
3,18,mrc-3,2
4,21,mrc-3,2
5,24,mrc-3,2
6,21,mrc-3,2
7,15,mrc-3,2
8,11,mrc-3,2
9,10,mrc-3,2
10,9,mrc-3,2
11,9,mrc-3,2
12,1,mrc-3,2
13,2,mrc-3,2
14,3,mrc-3,2
15,0,mrc-3,2
16,0,mrc-3,2
17,0,mrc-3,2
0,16,mrc-3,3
1,14,mrc-3,3
2,11,mrc-3,3
3,11,mrc-3,3
4,29,mrc-3,3
5,22,mrc-3,3
6,32,mrc-3,3
7,30,mrc-3,3
8,27,mrc-3,3
9,17,mrc-3,3
10,10,mrc-3,3
11,7,mrc-3,3
12,3,mrc-3,3
13,3,mrc-3,3
14,2,mrc-3,3
15,1,mrc-3,3
16,0,mrc-3,3
17,1,mrc-3,3
18,0,mrc-3,3
19,0,mrc-3,3
20,0,mrc-3,3
21,0,mrc-3,3
